"","cent.Species","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"2016","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2017","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2020","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2021","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2026","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2027","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2029","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2033","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2035","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2036","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2037","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2038","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2041","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2042","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2044","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2045","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2047","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2049","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2051","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2052","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2064","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2068","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2072","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2078","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2090","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2103","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2113","Canis latrans","A17-18",9.3261,-83.6218,TRUE
"2445","Canis latrans","A5-6",9.3352,-83.6389,TRUE
"2447","Canis latrans","A5-6",9.3352,-83.6389,TRUE
"2612","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2618","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2619","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2620","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2623","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2629","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2643","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2649","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2656","Canis latrans","A7-8",9.3318,-83.6235,TRUE
"2697","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2699","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2701","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2704","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2717","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2719","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2721","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2724","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2725","Canis latrans","C1-2",9.5378,-83.5852,TRUE
"2978","Canis latrans","C1-2R",9.4599,-83.5619,TRUE
"2979","Canis latrans","C1-2R",9.4599,-83.5619,TRUE
"3088","Canis latrans","C9-10",9.533,-83.5607,TRUE
"3097","Canis latrans","C9-10",9.533,-83.5607,TRUE
"3102","Canis latrans","C9-10",9.533,-83.5607,TRUE
"3188","Canis latrans","C9-10",9.533,-83.5607,TRUE
"3272","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3274","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3275","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3277","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3278","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3279","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3280","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3282","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3284","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3287","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3288","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3290","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3291","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3292","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3294","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3295","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3296","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3297","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3298","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3299","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3300","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3301","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3304","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3305","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3307","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3308","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3309","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3310","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3311","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3312","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3313","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3314","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3315","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3317","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3318","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3319","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3321","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3324","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3325","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3326","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3327","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3328","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3330","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3332","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3333","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3334","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3337","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3338","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3340","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3341","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3343","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3344","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3345","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3346","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3349","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3352","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3353","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3354","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3357","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3358","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3363","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3364","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3365","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3366","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3367","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3368","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3373","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3374","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3377","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3379","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3380","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3381","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3383","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3384","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3385","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3386","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3387","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3388","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3392","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3394","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3395","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3396","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3399","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3402","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3404","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3409","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3412","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3414","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3416","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3417","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3419","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3425","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3427","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3428","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3429","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3431","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3433","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3434","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3436","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3437","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3438","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3441","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3442","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3445","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3446","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3447","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3448","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3449","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3452","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3454","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3455","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3457","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3458","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3460","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3463","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3464","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3465","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3466","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3467","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3469","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3471","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3473","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3474","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3475","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3476","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3479","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3480","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3482","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3483","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3484","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3485","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3486","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3487","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3488","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3490","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3491","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3493","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3494","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3495","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3496","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3498","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3502","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3507","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3519","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3526","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3527","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3529","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3532","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3533","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3538","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3543","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3544","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3546","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3547","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3548","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3549","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3551","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3553","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3554","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3557","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3558","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3559","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3560","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3563","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3564","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3566","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3571","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3574","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3575","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3579","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3582","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3588","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3590","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3591","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3592","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3599","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3600","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3603","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3604","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3612","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3614","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3616","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3621","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3629","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3632","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3637","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3643","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3646","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3649","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3650","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3651","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3655","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3659","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3662","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3665","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3666","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3668","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3669","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3670","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3674","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3680","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3682","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3684","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3696","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3698","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3700","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3703","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3707","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3708","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3710","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3711","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3712","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3715","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3716","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3717","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3718","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3719","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3720","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3721","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3724","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3725","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3727","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3728","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3729","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3732","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3734","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3738","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3739","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3740","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3741","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3742","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3743","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3751","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3753","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3754","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3755","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3757","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3763","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3766","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3768","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3769","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3880","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3881","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3882","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3883","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3884","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3885","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3886","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3887","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3888","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3889","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3890","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3891","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3892","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3893","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3894","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3895","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3896","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3897","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3898","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3899","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3900","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3901","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3902","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3903","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3904","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3905","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3906","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3907","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3908","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3909","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3910","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3911","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3912","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3913","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3914","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3915","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3916","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3917","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3918","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3919","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3920","Canis latrans","C11-12",9.4294,-83.5094,TRUE
"3921","Canis latrans","C11-12",9.4294,-83.5094,TRUE
